location,block,Date,Time,month,day,hour,min,temp
boreal,11,2023-06-27,00:43:32,6,27,0,43,11.5
boreal,11,2023-06-27,01:43:32,6,27,1,43,10.5
boreal,11,2023-06-27,02:43:32,6,27,2,43,10
boreal,11,2023-06-27,03:43:32,6,27,3,43,9.5
boreal,11,2023-06-27,04:43:32,6,27,4,43,9
boreal,11,2023-06-27,05:43:32,6,27,5,43,9
boreal,11,2023-06-27,06:43:32,6,27,6,43,10.5
boreal,11,2023-06-27,07:43:32,6,27,7,43,13
boreal,11,2023-06-27,08:43:32,6,27,8,43,18
boreal,11,2023-06-27,09:43:32,6,27,9,43,23.5
boreal,11,2023-06-27,10:43:32,6,27,10,43,28
boreal,11,2023-06-27,11:43:32,6,27,11,43,31.5
boreal,11,2023-06-27,12:43:32,6,27,12,43,34
boreal,11,2023-06-27,13:43:32,6,27,13,43,36
boreal,11,2023-06-27,14:43:32,6,27,14,43,37
boreal,11,2023-06-27,15:43:32,6,27,15,43,36
boreal,11,2023-06-27,16:43:32,6,27,16,43,32
boreal,11,2023-06-27,17:43:32,6,27,17,43,26
boreal,11,2023-06-27,18:43:32,6,27,18,43,22.5
boreal,11,2023-06-27,19:43:32,6,27,19,43,21
boreal,11,2023-06-27,20:43:32,6,27,20,43,19
boreal,11,2023-06-27,21:43:32,6,27,21,43,17.5
boreal,11,2023-06-27,22:43:32,6,27,22,43,16
boreal,11,2023-06-27,23:43:32,6,27,23,43,14.5
boreal,11,2023-06-28,00:43:32,6,28,0,43,13.5
boreal,11,2023-06-28,01:43:32,6,28,1,43,13
boreal,11,2023-06-28,02:43:32,6,28,2,43,12
boreal,11,2023-06-28,03:43:32,6,28,3,43,11.5
boreal,11,2023-06-28,04:43:32,6,28,4,43,11
boreal,11,2023-06-28,05:43:32,6,28,5,43,11
boreal,11,2023-06-28,06:43:32,6,28,6,43,12.5
boreal,11,2023-06-28,07:43:32,6,28,7,43,15
boreal,11,2023-06-28,08:43:32,6,28,8,43,19.5
boreal,11,2023-06-28,09:43:32,6,28,9,43,25
boreal,11,2023-06-28,10:43:32,6,28,10,43,30
boreal,11,2023-06-28,11:43:32,6,28,11,43,33.5
boreal,11,2023-06-28,12:43:32,6,28,12,43,36
boreal,11,2023-06-28,13:43:32,6,28,13,43,38
boreal,11,2023-06-28,14:43:32,6,28,14,43,39
boreal,11,2023-06-28,15:43:32,6,28,15,43,39
boreal,11,2023-06-28,16:43:32,6,28,16,43,34.5
boreal,11,2023-06-28,17:43:32,6,28,17,43,28
boreal,11,2023-06-28,18:43:32,6,28,18,43,24
boreal,11,2023-06-28,19:43:32,6,28,19,43,22.5
boreal,11,2023-06-28,20:43:32,6,28,20,43,20.5
boreal,11,2023-06-28,21:43:32,6,28,21,43,19
boreal,11,2023-06-28,22:43:32,6,28,22,43,17
boreal,11,2023-06-28,23:43:32,6,28,23,43,16
boreal,11,2023-06-29,00:43:32,6,29,0,43,15
boreal,11,2023-06-29,01:43:32,6,29,1,43,14
boreal,11,2023-06-29,02:43:32,6,29,2,43,13
boreal,11,2023-06-29,03:43:32,6,29,3,43,12.5
boreal,11,2023-06-29,04:43:32,6,29,4,43,12.5
boreal,11,2023-06-29,05:43:32,6,29,5,43,12.5
boreal,11,2023-06-29,06:43:32,6,29,6,43,13.5
boreal,11,2023-06-29,07:43:32,6,29,7,43,16
boreal,11,2023-06-29,08:43:32,6,29,8,43,20.5
boreal,11,2023-06-29,09:43:32,6,29,9,43,26.5
boreal,11,2023-06-29,10:43:32,6,29,10,43,31.5
boreal,11,2023-06-29,11:43:32,6,29,11,43,35.5
boreal,11,2023-06-29,12:43:32,6,29,12,43,40
boreal,11,2023-06-29,13:43:32,6,29,13,43,35.5
boreal,11,2023-06-29,14:43:32,6,29,14,43,39
boreal,11,2023-06-29,15:43:32,6,29,15,43,41.5
boreal,11,2023-06-29,16:43:32,6,29,16,43,38.5
boreal,11,2023-06-29,17:43:32,6,29,17,43,30
boreal,11,2023-06-29,18:43:32,6,29,18,43,26
boreal,11,2023-06-29,19:43:32,6,29,19,43,24
boreal,11,2023-06-29,20:43:32,6,29,20,43,22
boreal,11,2023-06-29,21:43:32,6,29,21,43,20
boreal,11,2023-06-29,22:43:32,6,29,22,43,18.5
boreal,11,2023-06-29,23:43:32,6,29,23,43,17
boreal,11,2023-06-30,00:43:32,6,30,0,43,16
boreal,11,2023-06-30,01:43:32,6,30,1,43,15
boreal,11,2023-06-30,02:43:32,6,30,2,43,14.5
boreal,11,2023-06-30,03:43:32,6,30,3,43,14.5
boreal,11,2023-06-30,04:43:32,6,30,4,43,14
boreal,11,2023-06-30,05:43:32,6,30,5,43,15
boreal,11,2023-06-30,06:43:32,6,30,6,43,16
boreal,11,2023-06-30,07:43:32,6,30,7,43,18
boreal,11,2023-06-30,08:43:32,6,30,8,43,22
boreal,11,2023-06-30,09:43:32,6,30,9,43,25.5
boreal,11,2023-06-30,10:43:32,6,30,10,43,31.5
boreal,11,2023-06-30,11:43:32,6,30,11,43,36.5
boreal,11,2023-06-30,12:43:32,6,30,12,43,40.5
boreal,11,2023-06-30,13:43:32,6,30,13,43,40.5
boreal,11,2023-06-30,14:43:32,6,30,14,43,44
boreal,11,2023-06-30,15:43:32,6,30,15,43,42.5
boreal,11,2023-06-30,16:43:32,6,30,16,43,39.5
boreal,11,2023-06-30,17:43:32,6,30,17,43,31.5
boreal,11,2023-06-30,18:43:32,6,30,18,43,30
boreal,11,2023-06-30,19:43:32,6,30,19,43,28
boreal,11,2023-06-30,20:43:32,6,30,20,43,25
boreal,11,2023-06-30,21:43:32,6,30,21,43,23.5
boreal,11,2023-06-30,22:43:32,6,30,22,43,21.5
boreal,11,2023-06-30,23:43:32,6,30,23,43,20.5
boreal,11,2023-07-01,00:43:32,7,1,0,43,19.5
boreal,11,2023-07-01,01:43:32,7,1,1,43,18.5
boreal,11,2023-07-01,02:43:32,7,1,2,43,18
boreal,11,2023-07-01,03:43:32,7,1,3,43,17
boreal,11,2023-07-01,04:43:32,7,1,4,43,17
boreal,11,2023-07-01,05:43:32,7,1,5,43,17
boreal,11,2023-07-01,06:43:32,7,1,6,43,17.5
boreal,11,2023-07-01,07:43:32,7,1,7,43,18.5
boreal,11,2023-07-01,08:43:32,7,1,8,43,20.5
boreal,11,2023-07-01,09:43:32,7,1,9,43,22.5
boreal,11,2023-07-01,10:43:32,7,1,10,43,22.5
boreal,11,2023-07-01,11:43:32,7,1,11,43,24.5
boreal,11,2023-07-01,12:43:32,7,1,12,43,31
boreal,11,2023-07-01,13:43:32,7,1,13,43,31
