plot,Date,Time,month,day,hour,min,treatment,temp
1,2022-06-11,11:06:42,6,11,11,6,warming,21.5
1,2022-06-11,12:06:42,6,11,12,6,warming,22
1,2022-06-11,13:06:42,6,11,13,6,warming,22.5
1,2022-06-11,14:06:42,6,11,14,6,warming,22
1,2022-06-11,15:06:42,6,11,15,6,warming,22
1,2022-06-11,16:06:42,6,11,16,6,warming,21.5
1,2022-06-11,17:06:42,6,11,17,6,warming,20.5
1,2022-06-11,18:06:42,6,11,18,6,warming,20.5
1,2022-06-11,19:06:42,6,11,19,6,warming,20.5
1,2022-06-11,20:06:42,6,11,20,6,warming,20
1,2022-06-11,21:06:42,6,11,21,6,warming,20
1,2022-06-11,22:06:42,6,11,22,6,warming,20
1,2022-06-11,23:06:42,6,11,23,6,warming,19.5
1,2022-06-12,00:06:42,6,12,0,6,warming,19
1,2022-06-12,01:06:42,6,12,1,6,warming,19
1,2022-06-12,02:06:42,6,12,2,6,warming,19.5
1,2022-06-12,03:06:42,6,12,3,6,warming,20
1,2022-06-12,04:06:42,6,12,4,6,warming,20
1,2022-06-12,05:06:42,6,12,5,6,warming,20
1,2022-06-12,06:06:42,6,12,6,6,warming,20.5
1,2022-06-12,07:06:42,6,12,7,6,warming,21.5
1,2022-06-12,08:06:42,6,12,8,6,warming,21
1,2022-06-12,09:06:42,6,12,9,6,warming,21
1,2022-06-12,10:06:42,6,12,10,6,warming,20.5
1,2022-06-12,11:06:42,6,12,11,6,warming,20
1,2022-06-12,12:06:42,6,12,12,6,warming,20.5
1,2022-06-12,13:06:42,6,12,13,6,warming,20.5
1,2022-06-12,14:06:42,6,12,14,6,warming,21
1,2022-06-12,15:06:42,6,12,15,6,warming,21
1,2022-06-12,16:06:42,6,12,16,6,warming,21
1,2022-06-12,17:06:42,6,12,17,6,warming,21.5
1,2022-06-12,18:06:42,6,12,18,6,warming,21.5
1,2022-06-12,19:06:42,6,12,19,6,warming,22
1,2022-06-12,20:06:42,6,12,20,6,warming,22
1,2022-06-12,21:06:42,6,12,21,6,warming,22.5
1,2022-06-12,22:06:42,6,12,22,6,warming,22.5
1,2022-06-12,23:06:42,6,12,23,6,warming,22.5
1,2022-06-13,00:06:42,6,13,0,6,warming,22.5
1,2022-06-13,01:06:42,6,13,1,6,warming,22.5
1,2022-06-13,02:06:42,6,13,2,6,warming,22
1,2022-06-13,03:06:42,6,13,3,6,warming,22
1,2022-06-13,04:06:42,6,13,4,6,warming,22
1,2022-06-13,05:06:42,6,13,5,6,warming,22
1,2022-06-13,06:06:42,6,13,6,6,warming,22
