plot,treatment,orientation,Pmaj1,Pmaj2,Pmaj3,Lvul1,Lvul2,Lvul3,Toff1,Toff2,Toff3
1,warming,SLTR,9.1,6.3,6.2,25.3,11.7,10.6,8.7,10.2,7.4
2,control,SLTR,5.9,6.4,6.1,14.2,10.2,8.4,7.4,8,5.4
3,control,SRTL,5.6,7.5,5.9,15.5,15.4,13.4,15.1,4.7,9.5
4,control,SLTR,8.5,6.4,4.8,14.9,14.9,9.1,5.4,6.9,6.1
5,warming,SRTL,7.1,6.1,4.5,12.1,15.6,15.7,5.3,4.4,5.6
6,warming,SLTR,5.6,5.5,7,33.4,17.2,13.2,6.7,6.4,6.3
7,warming,SRTL,6.1,9.1,10.7,15.7,15,13.6,5.1,5.9,6
8,control,SRTL,8.8,9.9,10.7,18.6,29.6,26.4,9.5,9.2,8.2
9,warming,SLTR,9.6,6.2,9.2,17.5,27.4,21,8.2,10.4,12.1
10,warming,SRTL,5.2,11.4,3.9,9.4,18.1,20.8,8.2,10.8,9.8
11,control,SLTR,5.6,6,5.6,16.4,7.4,16.1,9.1,9.1,11.8
12,control,SRTL,14.3,9.1,16.6,13.9,14.7,13.8,14.6,11,14.4
13,warming,SLTR,4.1,6.2,4.3,10.2,15.8,16.2,8.9,11.2,10.5
14,warming,SRTL,4.2,4.5,7.2,12.4,10.9,13.7,18.1,16,12
15,control,SLTR,4.5,6.5,3.6,13.8,16.4,15.1,13.9,8.2,11.9
16,control,SRTL,7.2,4.2,4.2,12.4,17.3,8.8,12.2,9.4,12.8
17,control,SLTR,3.4,6.1,3.8,9.1,28,25.1,11.1,13.2,10.5
18,warming,SLTR,4.5,4.2,5.6,18.3,14.4,13.6,7.9,12.2,12.4
19,control,SRTL,5.2,4,3.7,19.6,17.4,19.5,5.7,10.2,12.2
20,warming,SRTL,3.4,3,4.9,14.7,16.5,27.9,6.8,6.8,8.8
21,control,SLTR,2,11,8.4,17.4,14.8,13,11.3,11.9,10.9
22,warming,SLTR,6.1,8.8,11.2,25.4,25.6,26.2,8.2,11,10.1
23,control,SRTL,6.1,7.1,5.7,13.8,28.9,24.5,12.6,16.9,12.1
24,warming,SRTL,7.4,6.9,6.2,18.1,5.9,14.3,18.5,9.5,14.3
25,warming,SLTR,13.5,9.2,7.8,14,10.8,13.8,14.8,13.1,8.1
26,control,SRTL,11.1,13.1,7.5,10.8,14.9,30.3,11.1,13.2,9.1
27,warming,SLTR,10.1,7.4,6.5,15.7,9.1,9.9,6.8,13.9,14.5
28,control,SRTL,8.6,4,17.1,10.6,20.5,32.1,13.6,12.8,13.8
29,control,SLTR,9.3,5.9,3.6,8.1,21.8,15.2,10.6,11.6,9.7
30,warming,SLTR,3.8,5.1,8.1,7.1,11.7,27.5,10.7,10,8.4
31,warming,SRTL,9.4,6.6,7.4,9.5,8.4,6.4,7.2,7.9,11.9
32,warming,SLTR,7.5,5.7,7.2,10.3,24.8,32.5,10.8,11.1,9.8
33,control,SRTL,3.2,6.8,4.6,16.5,23.5,30.8,8.1,8.2,8.3
34,warming,SRTL,5.3,4.6,5.5,14.3,24.6,18,11.5,11.9,10.1
35,control,SLTR,4.1,5.1,5,13.5,9.5,8.8,9.1,14,13.2
36,warming,SLTR,5.5,5.3,6.4,11,10.2,6.4,10.5,11.4,8.1
37,control,SRTL,3.9,0.6,6.1,15.5,15.5,8.5,19,8.5,7.8
38,warming,SRTL,6.2,5.5,5.1,12,8.8,12.5,9.1,5.6,6.3
39,control,SLTR,5.6,6,5.3,20.2,18.7,12.5,9,7.6,12.8
40,control,SRTL,3,7.1,6.1,19.2,9.4,15.7,11.5,13.3,7.6
